algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
ppo,58,232,7424,0,0.9970427913696721,0.99732702147908,0.02025227832855055,1.0783600103395594,0.0009464838347280396,0.0002122396473849317,0.0,2.242930969325014e-06,0.0
ppo,59,236,7552,0,0.9970966623015229,0.9973716475040763,0.01995533085866349,1.0786569578094463,0.008054134872589009,0.0003138639007041085,0.0,9.22767407371854e-07,0.0
ppo,60,240,7680,0,0.997130884916728,0.9974000604614295,0.01976522884781471,1.078847059820295,-0.002362026133094068,9.843809877125372e-05,0.0,3.8514565708172396e-07,0.0
ppo,61,244,7808,0,0.9971530782403266,0.9974185322795251,0.019641226183425824,1.0789710624846838,-0.004752041874994235,0.0001525602241514229,0.0,1.6536120961810955e-07,0.0
ppo,62,248,7936,0,0.9971676344169369,0.9974306728269902,0.019559584273413665,1.0790527043946962,0.0021806929677847214,1.994708055950522e-05,0.0,7.209592230729442e-08,0.0
ppo,63,252,8064,0,0.9971771363344257,0.9974385989630894,0.019506207488339575,1.0791060811797701,0.0026089664881765295,9.131248285048117e-05,0.0,3.1064427311747346e-08,0.0
ppo,64,256,8192,0,0.9971833043215526,0.9974437377765832,0.019471540591261785,1.0791407480768482,0.0001255109168770628,2.9529456779367597e-06,0.0,1.3202226874846413e-08,0.0
ppo,65,260,8320,0,0.9971873838886913,0.9974471405185077,0.019448570419259167,1.0791637182488505,-0.0016763374934519323,3.639652113814635e-05,0.0,5.793930341602446e-09,0.0
ppo,66,264,8448,0,0.9971901169350657,0.9974494251754586,0.019433158491224026,1.0791791301768856,0.0006566391635749385,4.338286356551553e-06,0.0,2.597858500752051e-09,0.0
ppo,67,268,8576,0,0.9971919078078785,0.9974509203044974,0.019423068260265956,1.079189220407844,0.0006990386520770068,1.4574752778575978e-05,0.0,1.1174724819173928e-09,0.0
ppo,68,272,8704,0,0.9972612763375138,0.9975064071393149,0.019055839714733906,1.0795564489533758,0.015694269036612894,0.012742430871325476,0.0,2.6149431496937406e-06,0.0
ppo,69,276,8832,0,0.9973335699566944,0.9975648079596955,0.018663891525141477,1.0799483971429684,-0.011079438454879312,0.0005090725642894466,0.0,3.1769214929559767e-06,0.0
ppo,70,280,8960,0,0.9974698968414464,0.9976746145437503,0.017936359147280485,1.0806759295208292,0.008646656846347155,0.012979085642007537,0.0,5.7019764202105e-06,0.0
ppo,71,284,9088,0,0.9976278531877448,0.9978134200513048,0.0170111309516702,1.0816011577164395,0.001500765138989828,0.0031887988264876015,0.0,1.1298328271543121e-05,0.0
ppo,72,288,9216,0,0.9977348619722939,0.9979110101908942,0.016348656446019672,1.08226363222209,-0.007308677022903463,0.0003727069036480391,0.0,6.644204178887156e-06,0.0
ppo,73,292,9344,0,0.9977984398289123,0.9979688743650216,0.01594940653276651,1.0826628821353435,0.0024688830120558935,0.0001413355748023757,0.0,2.5487809284680127e-06,0.0
ppo,74,296,9472,0,0.9978376074250422,0.998004472872752,0.015701233774522275,1.0829110548935876,0.001592255933542135,0.0002033806909910198,0.0,1.019258295674293e-06,0.0
ppo,75,300,9600,0,0.9978623477599382,0.9980269359774686,0.015543569652215889,1.0830687190158939,-0.0026391524890538873,3.291930245912584e-05,0.0,4.2363997339765747e-07,0.0
ppo,76,304,9728,0,0.9978782472686964,0.9980413651486866,0.015441849152689917,1.0831704395154198,-0.002006748548947275,0.00014145592222622965,0.0,1.7948127843801299e-07,0.0
ppo,77,308,9856,0,0.9978885469630911,0.9980507103933829,0.015375792620537891,1.0832364960475722,0.0027503098067204277,1.0213020682702586e-05,0.0,7.58606798760358e-08,0.0
ppo,78,312,9984,0,0.9978952633946404,0.9980568021947169,0.015332650294078331,1.0832796383740315,-0.0013008419894306512,3.6833543917828215e-05,0.0,3.266090897195962e-08,0.0
ppo,79,316,10112,0,0.9978996624938085,0.9980607899388951,0.015304365282736383,1.0833079233853735,-7.623957207036211e-05,2.6668010322752198e-05,0.0,1.4280577268182999e-08,0.0
ppo,80,320,10240,0,0.9979334806292983,0.998097956445089,0.015052299758032612,1.0835599889100773,0.006268708688975185,0.0027413374177448387,0.0,1.554936460314503e-06,0.0
ppo,81,324,10368,0,0.9979685692684768,0.9981364721859236,0.014787776888950811,1.083824511779159,-0.005547393156132597,3.710728313498739e-05,0.0,1.9098970218019664e-06,0.0
ppo,82,328,10496,0,0.9979901656621856,0.9981600023848475,0.014624170799136986,1.083988117868973,-0.0019420383278809282,5.808486508221666e-05,0.0,7.590047921273268e-07,0.0
ppo,83,332,10624,0,0.998027857279627,0.9982009892387357,0.014335359318378045,1.0842769293497316,0.010870187509604883,0.0026701529727411683,0.0,2.684298704650072e-06,0.0
ppo,84,336,10752,0,0.9980610225393123,0.998236657308752,0.014079389305091537,1.084532899363018,-0.0058096128588067605,0.00016770635966044042,0.0,2.2980002941929137e-06,0.0
ppo,85,340,10880,0,0.9980810255122294,0.9982579379333364,0.013924412651355075,1.0846878760167546,-0.004539287908888388,6.850759243895393e-05,0.0,8.87924396598473e-07,0.0
ppo,86,344,11008,0,0.9980934536985622,0.9982710660726748,0.013827909486580692,1.0847843791815293,0.00434805696708368,5.480889223550703e-05,0.0,3.5642507333221754e-07,0.0
ppo,87,348,11136,0,0.9981013199673341,0.9982793381073629,0.013766734484796901,1.0848455541833129,0.002387869626461233,2.0047088177055846e-05,0.0,1.4680119414345568e-07,0.0
ppo,88,352,11264,0,0.9981063926099674,0.9982846537791813,0.013727269400028833,1.084885019268081,-0.0031534219880695277,2.4476569014462533e-05,0.0,6.196032478638677e-08,0.0
ppo,89,356,11392,0,0.9981097031301975,0.998288113226382,0.013701520749252285,1.0849107679188574,-0.0016525380965203582,1.4884001933207062e-05,0.0,2.656293864780339e-08,0.0
ppo,90,360,11520,0,0.9981819973660637,0.998346147472561,0.013309089275364883,1.0853031993927447,0.018361281330391763,0.01279790598980989,0.0,3.027878162514846e-06,0.0
ppo,91,364,11648,0,0.9982556319872895,0.9984056837993631,0.012900756119887342,1.0857115325482227,-0.010629361670503478,0.0003575758476271666,0.0,3.6252251318833074e-06,0.0
ppo,92,368,11776,0,0.9983555144872316,0.9984949121687361,0.01226736453503672,1.0863449241330732,0.012124498536090808,0.014612823894457996,0.0,5.497401363406846e-06,0.0
ppo,93,372,11904,0,0.9984378128216536,0.9985699041690231,0.011723335602145689,1.0868889530659642,-0.010879411177730124,0.000778695813358412,0.0,5.279518105670299e-06,0.0
ppo,94,376,12032,0,0.9984863740375421,0.9986141123881085,0.011398008448030551,1.087214280220079,-0.0007085990628063886,0.0007408520416303917,0.0,2.0013804303651766e-06,0.0
ppo,95,380,12160,0,0.998532769925574,0.9986584635427479,0.011067035812111804,1.087545252855998,0.013188566942793606,0.002630795976579012,0.0,1.5530025451907523e-06,0.0
ppo,96,384,12288,0,0.9985694481013071,0.9986939275778071,0.010799605137149313,1.0878126835309603,-0.010249021020030714,0.000380897694932587,0.0,1.2483579940449525e-06,0.0
ppo,97,388,12416,0,0.998592488565586,0.9987160613944647,0.01063155741380879,1.087980731254301,-0.004520495896650163,0.00011698582352452495,0.0,5.013360887482748e-07,0.0
ppo,98,392,12544,0,0.9986071692515441,0.9987301054248794,0.010524460284472958,1.0880878283836368,0.009901541402308176,0.00011926484362585776,0.0,2.0630459953727133e-07,0.0
ppo,99,396,12672,0,0.9986166551471469,0.9987391541477277,0.010455275974518131,1.0881570126935918,-0.0010020930439853153,6.588058531530554e-05,0.0,8.660130734783278e-08,0.0
ppo,100,400,12800,0,0.998641415461722,0.9987608951354877,0.010284480161269066,1.0883278085068409,0.008477829763369745,0.011950075114785661,0.0,9.71654934855249e-07,0.0
ppo,101,404,12928,0,0.9986644490998908,0.9987811499708993,0.010123229033098256,1.0884890596350116,-0.008953216679296022,0.00010177957500280854,0.0,1.0520343454682176e-06,0.0
ppo,102,408,13056,0,0.9986782835858339,0.9987934426780603,0.010024536932845256,1.0885877517352645,0.0005771835399160392,0.0003077254633108552,0.0,4.09096145558203e-07,0.0
ppo,103,412,13184,0,0.9986969030078903,0.9988126186677571,0.009872065631605633,1.088740223036504,0.015026979829900497,0.002493680427780772,0.0,1.1284029072940178e-06,0.0
