step,optimizer_steps,sampled_episodes,sampled_transitions,old_policy_kl,expected_return,left_probability,left_success_probability,value_start
22,88,1408,2816,4.90868228279353e-06,0.9936949497943288,0.9946817074180084,0.9979984984259593,0.9787416831660082
23,92,1472,2944,4.10610172341028e-06,0.9938917548462495,0.9947098599844916,0.9981734336720767,0.9756772794814054
24,96,1536,3072,5.114694177777732e-06,0.9942144990337473,0.9949744330828565,0.9982825658073464,0.997267675696039
25,100,1600,3200,5.0595898309658755e-06,0.9945174747828643,0.9952631882582198,0.9983521095852596,1.008597675158289
26,104,1664,3328,2.146191268299914e-06,0.9947107444063414,0.9954468172353484,0.9983969145022238,1.0034197901060555
27,108,1728,3456,6.868130860120025e-06,0.9950156269599268,0.9957874051545881,0.9984261702335837,0.9817512615422249
28,112,1792,3584,6.449810485975356e-06,0.9952932575832714,0.996106441731608,0.9984455682345107,0.9893865459065248
29,116,1856,3712,1.0425690244176009e-05,0.9956202598885819,0.9964944568921512,0.9984584576433663,0.9985324703933922
30,120,1920,3840,1.8714411285381194e-05,0.9960228061369006,0.9969812009373358,0.9984669350725505,0.9862594151442322
31,124,1984,3968,1.1620718502753273e-05,0.9963188165895555,0.9973399120455949,0.9984725273299232,0.9942426003385149
32,128,2048,4096,1.2312938490075624e-05,0.996602147986992,0.9976852117540499,0.9984762949941068,0.9954267247545215
33,132,2112,4224,8.058270826530862e-06,0.9968169964895057,0.9979474419688503,0.9984788338557108,0.9960639192941282
34,136,2176,4352,3.2244116430152076e-06,0.9969468000944055,0.9981057162541159,0.9984804934998879,1.0036921125484504
35,140,2240,4480,5.7085211894660834e-06,0.9971100245301626,0.9983059790127491,0.9984815782806035,0.9878277935142594
36,144,2304,4608,4.439502173946438e-06,0.9972463378812643,0.9984734241545563,0.9984823220944247,0.9911370452723741
37,148,2368,4736,1.800659028480598e-06,0.9973297506054044,0.9985758217783703,0.9984828300010974,1.0096191434136568
38,152,2432,4864,3.980739050074053e-06,0.9974476620019991,0.9987210575555833,0.9984831529313744,0.9891674212946098
39,156,2496,4992,3.2680423841160925e-06,0.9975489999271,0.9988459653473523,0.9984833605764792,0.9874975653018937
40,160,2560,5120,1.3240090975329623e-06,0.9976109904707343,0.9989223468276559,0.9984835096220279,1.010116657175635
41,164,2624,5248,5.505273986742205e-07,0.9976499221645647,0.9989703053688526,0.9984836121485706,1.0055824996316767
42,168,2688,5376,2.340377752030036e-06,0.9977847805814967,0.9990008649233096,0.9985938383742116,0.9736408366846947
43,172,2752,5504,8.826105793996258e-06,0.9980105569235839,0.9990206718683498,0.9988037815840534,0.9739859940865409
44,176,2816,5632,5.955027040757713e-06,0.9981813139202953,0.9990337689371105,0.998964085327387,1.0124162765541311
45,180,2880,5760,2.3160173444313767e-06,0.9982826680600955,0.9990423761974732,0.999058556990998,1.0125475759961013
46,184,2944,5888,2.2236846752008984e-06,0.9983964402926689,0.999111457135507,0.999116409772901,0.9729619566676111
47,188,3008,6016,1.955457014540541e-06,0.9984916441087185,0.9991840235665495,0.9991528442264234,0.9921090066351499
48,192,3072,6144,8.078300861372585e-07,0.9985514423594594,0.9992289681969965,0.9991762411608683,1.0198976649683666
49,196,3136,6272,3.3903729268973027e-07,0.9985896052367929,0.9992573709947028,0.9991913993852074,0.9977159653194506
50,200,3200,6400,1.4441682050246108e-07,0.9986142590640223,0.9992756125766404,0.9992012782160727,0.9883101036857099
51,204,3264,6528,6.268809975495282e-08,0.9986303918845393,0.99928750373967,0.9992077794904073,1.0060924336321417
52,208,3328,6656,2.7244749256709368e-08,0.9986409861994334,0.9992952822105429,0.9992120733826138,1.0048263683421337
53,212,3392,6784,1.1769086793732895e-08,0.9986479288986263,0.999300370459135,0.9992148946637227,0.994093640563255
54,216,3456,6912,5.164744417353652e-09,0.998652515348917,0.9993037337513275,0.9992167568715151,0.9996225153714562
55,220,3520,7040,2.28408343137496e-09,0.9986555635418278,0.9993059640215753,0.9992179985593522,1.0038703215778335
56,224,3584,7168,9.883460454208115e-10,0.9986575689014764,0.9993074274663937,0.9992188185383851,0.9983705707311352
57,228,3648,7296,4.3069567410131545e-10,0.9986588895424886,0.999308394647486,0.9992193557645508,0.9983988639674929
58,232,3712,7424,1.9302634483420225e-10,0.9986597731313945,0.9993090418988037,0.9992197150803853,1.0018411686954987
59,236,3776,7552,8.401714107103259e-11,0.9986603577980118,0.9993094671964727,0.999219955258784,1.000015230480341
60,240,3840,7680,3.593270815763983e-11,0.9986607392727348,0.9993097459391493,0.9992201109525413,0.9988462544987633
61,244,3904,7808,1.6233083301372252e-11,0.9986609947351835,0.9993099340004099,0.9992202140844014,1.000645376849803
62,248,3968,7936,7.192927389827727e-12,0.9986611658749813,0.9993100582645164,0.9992202845712279,1.0003402581328884
63,252,4032,8064,2.9989826474611324e-12,0.9986612764136777,0.9993101384611763,0.9992203301513021,0.9993930125634196
64,256,4096,8192,1.3510846663781808e-12,0.9986613497979163,0.9993101929442232,0.999220359403541,1.0001644124120486
65,260,4160,8320,6.1842137427615e-13,0.9986613999042392,0.9993102294345766,0.9992203799528455,1.0002744977166824
66,264,4224,8448,2.51114251725364e-13,0.998661432119692,0.9993102524300157,0.999220393542541,0.9997167012566451
67,268,4288,8576,1.1100318141586006e-13,0.9986614530558003,0.9993102681364696,0.9992204017560578,1.0000182539149811
68,272,4352,8704,1.8042794998131854e-06,0.9987339702718737,0.9993102304560768,0.9992929995835625,0.9787674013768276
69,276,4416,8832,2.2302216095223197e-06,0.998810378108379,0.9993102464826941,0.999369447161163,0.9995797275070597
70,280,4480,8960,8.828726799854283e-07,0.9988563898308631,0.9993102930965195,0.9994154528319675,1.013225839031527
71,284,4544,9088,3.604226585654508e-07,0.9988849051943476,0.9993102827745188,0.9994439962491566,0.9921712762000287
72,288,4608,9216,1.5084328188821014e-07,0.9989030003231838,0.999310279088442,0.9994621068572284,0.9968619012212833
73,292,4672,9344,6.425254446236354e-08,0.9989146780555184,0.9993102996379648,0.999473775979761,1.0066724492377748
74,296,4736,9472,2.7479490165805113e-08,0.9989222374510485,0.9993102969423655,0.999481342779295,0.9976196161227339
75,300,4800,9600,1.184346351360696e-08,0.9989271697038269,0.9993102917817123,0.99948628262259,0.9975890529912734
