group_size,batch_prompts,algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
2,64,grpo,16,64,2048,0,0.982325416510049,0.9840662418876077,0.0918852756896025,1.0067270129785073,0.03017304035432099,0.0,0.0,3.9881907552096754e-05,1.0
2,64,grpo,17,68,2176,0,0.9831084457603609,0.9848243094632085,0.08833032719006309,1.0102819614780467,0.029685093395776328,0.0,0.0,2.6049278795442516e-05,0.984375
2,64,grpo,18,72,2304,0,0.9838887251583369,0.9856048263386692,0.08455138389515574,1.014060904772954,0.029442428419440083,0.0,0.0,2.695611385081207e-05,0.96875
2,64,grpo,19,76,2432,0,0.9848646735186867,0.9864829070629405,0.08023961000396346,1.0183726786641463,0.029157326505433567,0.0,0.0,4.669116379769137e-05,0.96875
2,64,grpo,20,80,2560,0,0.9857507778921708,0.9872290240101499,0.07650507365357298,1.022107215014537,0.02958940942599759,0.0,0.0,5.345829963982939e-05,0.984375
2,64,grpo,21,84,2688,0,0.9869916432296659,0.988309151024967,0.07097552891565745,1.0276367597524523,0.024126988951391093,0.0,0.03125,0.00012037742189883289,0.90625
2,64,grpo,22,88,2816,0,0.9879499024871342,0.9891620725366809,0.0664684427472037,1.032143845920906,0.02934317217899204,0.0,0.0078125,8.64355291450444e-05,0.984375
2,64,grpo,23,92,2944,0,0.98870519356167,0.9898176202597442,0.06292444771535523,1.0356878409527546,0.030296614255637597,0.0,0.0,3.8864903645923835e-05,0.96875
2,64,grpo,24,96,3072,0,0.9892410519952263,0.99027695270728,0.060407771191066696,1.038204517477043,0.031166248703509012,0.0,0.0,1.8511855700873497e-05,1.0
2,64,grpo,25,100,3200,0,0.98954270158293,0.99053525516908,0.05896862616196597,1.0396436625061436,0.031175453149589794,0.0,0.0,6.803971751561335e-06,1.0
2,64,grpo,26,104,3328,0,0.9897013752219898,0.9906700403267421,0.05819938246198177,1.0404129062061278,0.03119271014818186,0.0,0.0,2.5111807173026864e-06,1.0
2,64,grpo,27,108,3456,0,0.9897691157724371,0.9907258253543793,0.05786072511136486,1.0407515635567448,0.03118136954004121,0.0,0.0,9.291554493020274e-07,1.0
2,64,grpo,28,112,3584,0,0.9897733168893448,0.9907263122236825,0.0578209734685968,1.0407913151995132,0.031017700922381042,0.0,0.0,4.5472819823063116e-07,1.0
2,64,grpo,29,116,3712,0,0.9899467920690979,0.9908902879313024,0.056914324664931314,1.0416979640031787,0.03059983176784388,0.0,0.0,5.5633335378584846e-06,0.96875
2,64,grpo,30,120,3840,0,0.9903673594039623,0.9913108072640768,0.05472341567355456,1.0438888729945552,0.030470992497882054,0.0,0.0,1.685787780616969e-05,0.96875
2,64,grpo,31,124,3968,0,0.9909415143319196,0.9918443710562233,0.05192646869162068,1.046685819976489,0.030022744501976326,0.0,0.0,3.1069302415775246e-05,0.96875
2,64,grpo,32,128,4096,0,0.9913596603295833,0.9922216589760777,0.04990333526915381,1.0487089533989562,0.03152240282414038,0.0,0.0,2.04319966703961e-05,1.0
2,64,grpo,33,132,4224,0,0.9915873001883142,0.9924281562197965,0.048776303408384486,1.0498359852597252,0.0314340415574062,0.0,0.0,7.40753776908216e-06,1.0
2,64,grpo,34,136,4352,0,0.9918322669463253,0.9926630401801695,0.047539236977795885,1.051073051690314,0.031188873227588808,0.0,0.0,6.5976274210380026e-06,0.984375
2,64,grpo,35,140,4480,0,0.9922147532582579,0.992992770316613,0.04583383480935903,1.0527784538587506,0.03108073359699832,0.0,0.0,1.3953947717067773e-05,0.984375
2,64,grpo,36,144,4608,0,0.9925169370181198,0.9932423276959104,0.04453366146014302,1.0540786272079667,0.03161898080969951,0.0,0.0,9.872530349692825e-06,1.0
2,64,grpo,37,148,4736,0,0.9927511492738214,0.9934306934000926,0.04349471387833439,1.0551175747897754,0.03134204672188104,0.0,0.0,4.97109531590244e-06,0.984375
2,64,grpo,38,152,4864,0,0.9929107948018265,0.9935561385724185,0.042778695583383555,1.0558335930847262,0.03166994011719943,0.0,0.0,3.079537770047263e-06,1.0
2,64,grpo,39,156,4992,0,0.9929916367990097,0.9936171098860653,0.0424255884730563,1.0561867001950536,0.031668919599674106,0.0,0.0,1.0938846541012442e-06,1.0
2,64,grpo,40,160,5120,0,0.9931798353406068,0.9937555379516267,0.041671121783932216,1.0569411668841775,0.03132681300483843,0.0,0.0,5.2433883892046124e-06,0.984375
