step,time,replan_reason,joint_error_rad,max_velocity_bound_violation,solver_violation
35,0.7000000000000003,reused,0.00444546895031916,0.0,0.0
36,0.7200000000000003,periodic,0.0038959793183627124,0.0,0.0
37,0.7400000000000003,reused,0.0033464896424471075,0.0,0.0
38,0.7600000000000003,reused,0.0027969999260890202,0.0,0.0
39,0.7800000000000004,reused,0.002247510172523934,0.0,0.0
40,0.8000000000000004,reused,0.0016980203847283958,0.0,0.0
41,0.8200000000000004,periodic,0.0014881337323444665,0.0,0.0
42,0.8400000000000004,reused,0.0012782470631696589,0.0,0.0
43,0.8600000000000004,reused,0.001068360378547275,0.0,0.0
44,0.8800000000000004,reused,0.0008584736797129472,0.0,0.0
45,0.9000000000000005,reused,0.0006485869678038086,0.0,0.0
46,0.9200000000000005,periodic,0.0005684172898208904,0.0,0.0
47,0.9400000000000005,reused,0.0004882476054243702,0.0,0.0
48,0.9600000000000005,reused,0.00040807791512742795,0.0,0.0
49,0.9800000000000005,reused,0.0003279082194019769,0.0,0.0
50,1.0000000000000004,reused,0.00024773851868239435,0.0,0.0
51,1.0200000000000005,periodic,0.00021711638433083858,0.0,0.0
52,1.0400000000000005,reused,0.00018649424752950305,0.0,0.0
53,1.0600000000000005,reused,0.00015587210847447893,0.0,0.0
54,1.0800000000000005,reused,0.00012524996734589443,0.0,0.0
55,1.1000000000000005,reused,9.462782430970399e-05,0.0,0.0
56,1.1200000000000006,periodic,8.293119366539145e-05,0.0,0.0
57,1.1400000000000006,reused,7.12345620852996e-05,0.0,0.0
58,1.1600000000000006,reused,5.9537929644327315e-05,0.0,0.0
59,1.1800000000000006,reused,4.7841296411438964e-05,0.0,0.0
60,1.2000000000000006,reused,3.6144662449886604e-05,0.0,0.0
61,1.2200000000000006,periodic,3.1676940936407416e-05,0.0,0.0
62,1.2400000000000007,reused,2.7209219065541487e-05,0.0,0.0
63,1.2600000000000007,reused,2.274149686583e-05,0.0,0.0
64,1.2800000000000007,reused,1.8273774363632755e-05,0.0,0.0
65,1.3000000000000007,reused,1.3806051583047934e-05,0.0,0.0
66,1.3200000000000007,periodic,1.2099531463823393e-05,0.0,0.0
67,1.3400000000000007,reused,1.0393011208089873e-05,0.0,0.0
68,1.3600000000000008,reused,8.686490826698619e-06,0.0,0.0
69,1.3800000000000008,reused,6.979970329788569e-06,0.0,0.0
70,1.4000000000000008,reused,5.27344972652724e-06,0.0,0.0
71,1.4200000000000008,periodic,4.621616144519194e-06,0.0,0.0
72,1.4400000000000008,reused,3.9697825103918476e-06,0.0,0.0
73,1.4600000000000009,reused,3.317948828266408e-06,0.0,0.0
74,1.4800000000000009,reused,2.6661151020479274e-06,0.0,0.0
75,1.5000000000000009,reused,2.0142813352095044e-06,0.0,0.0
76,1.520000000000001,periodic,1.76530271856925e-06,0.0,0.0
77,1.540000000000001,reused,1.5163240820815755e-06,0.0,0.0
78,1.560000000000001,reused,1.2673454272573564e-06,0.0,0.0
79,1.580000000000001,reused,1.0183667555641628e-06,0.0,0.0
80,1.600000000000001,reused,7.693880682952082e-07,0.0,0.0
81,1.620000000000001,periodic,6.74286568048428e-07,0.0,0.0
82,1.640000000000001,reused,5.791850602521469e-07,0.0,0.0
83,1.660000000000001,reused,4.84083545423423e-07,0.0,0.0
84,1.680000000000001,reused,3.8898202418645886e-07,0.0,0.0
85,1.700000000000001,reused,2.938804969108692e-07,0.0,0.0
86,1.720000000000001,periodic,2.5755490610811813e-07,0.0,0.0
87,1.740000000000001,reused,2.2122931234932552e-07,0.0,0.0
88,1.7600000000000011,reused,1.8490371598170192e-07,0.0,0.0
89,1.7800000000000011,reused,1.4857811715419387e-07,0.0,0.0
90,1.8000000000000012,reused,1.1225251601875407e-07,0.0,0.0
91,1.8200000000000012,periodic,9.837735592388059e-08,0.0,0.0
92,1.8400000000000012,reused,8.450219468624332e-08,0.0,0.0
93,1.8600000000000012,reused,7.062703245478874e-08,0.0,0.0
94,1.8800000000000012,reused,5.6751869253424104e-08,0.0,0.0
95,1.9000000000000012,reused,4.2876705059745266e-08,0.0,0.0
96,1.9200000000000013,periodic,3.75768581839494e-08,0.0,0.0
97,1.9400000000000013,reused,3.227701081199644e-08,0.0,0.0
98,1.9600000000000013,reused,2.6977163116740122e-08,0.0,0.0
99,1.9800000000000013,reused,2.167731509667735e-08,0.0,0.0
100,2.0000000000000013,reused,1.6377466753311215e-08,0.0,0.0
101,2.0200000000000014,periodic,1.435310261451543e-08,0.0,0.0
102,2.0400000000000014,reused,1.2328738302865911e-08,0.0,0.0
103,2.0600000000000014,reused,1.0304373840766769e-08,0.0,0.0
104,2.0800000000000014,reused,8.28000920581389e-09,0.0,0.0
105,2.1000000000000014,reused,6.255644420411389e-09,0.0,0.0
106,2.1200000000000014,periodic,5.482404940849524e-09,0.0,0.0
107,2.1400000000000015,reused,4.709165461287659e-09,0.0,0.0
108,2.1600000000000015,reused,3.9359259817257944e-09,0.0,0.0
109,2.1800000000000015,reused,3.1626863532174018e-09,0.0,0.0
110,2.2000000000000015,reused,2.3894467232059135e-09,0.0,0.0
111,2.2200000000000015,periodic,2.094095208007014e-09,0.0,0.0
112,2.2400000000000015,reused,1.798743692808115e-09,0.0,0.0
113,2.2600000000000016,reused,1.503392027159594e-09,0.0,0.0
114,2.2800000000000016,reused,1.2080403615110762e-09,0.0,0.0
115,2.3000000000000016,reused,9.126886734584447e-10,0.0,0.0
116,2.3200000000000016,periodic,7.998742779375334e-10,0.0,0.0
117,2.3400000000000016,reused,6.870598600125046e-10,0.0,0.0
118,2.3600000000000017,reused,5.74245442087479e-10,0.0,0.0
119,2.3800000000000017,reused,4.61431024162459e-10,0.0,0.0
120,2.4000000000000017,reused,3.486166062374501e-10,0.0,0.0
121,2.4200000000000017,periodic,3.0552523276667485e-10,0.0,0.0
122,2.4400000000000017,reused,2.6243385929590337e-10,0.0,0.0
123,2.4600000000000017,reused,2.1934248582513789e-10,0.0,0.0
124,2.4800000000000018,reused,1.7625111235438272e-10,0.0,0.0
125,2.5000000000000018,reused,1.3315973888364794e-10,0.0,0.0
126,2.520000000000002,periodic,1.1670036270586251e-10,0.0,0.0
127,2.540000000000002,reused,1.002409865280811e-10,0.0,0.0
128,2.560000000000002,reused,8.378161035030608e-11,0.0,0.0
129,2.580000000000002,reused,6.732223417254215e-11,0.0,0.0
130,2.600000000000002,reused,5.0862835590680325e-11,0.0,0.0
131,2.620000000000002,periodic,4.4575883767273e-11,0.0,0.0
132,2.640000000000002,reused,3.828893194389829e-11,0.0,0.0
133,2.660000000000002,reused,3.200198012057544e-11,0.0,0.0
134,2.680000000000002,reused,2.571502829734247e-11,0.0,0.0
135,2.700000000000002,reused,1.942807647428664e-11,0.0,0.0
136,2.720000000000002,periodic,1.7026618082727982e-11,0.0,0.0
137,2.740000000000002,reused,1.462515969119765e-11,0.0,0.0
138,2.760000000000002,reused,1.2223701299712346e-11,0.0,0.0
139,2.780000000000002,reused,9.822242908305097e-12,0.0,0.0
