step,time,offset,measured_position,position,velocity,absolute_error
1,0.1,0.0,0.0,0.020000000000000004,0.2,0.27999999999999997
2,0.2,0.0,0.020000000000000004,0.06000000000000001,0.4,0.24
3,0.30000000000000004,0.0,0.06000000000000001,0.12000000000000002,0.6000000000000001,0.17999999999999997
4,0.4,0.0,0.12000000000000002,0.20000000000000004,0.8,0.09999999999999995
5,0.5,0.0,0.20000000000000004,0.26000000000000006,0.6000000000000001,0.039999999999999925
6,0.6000000000000001,0.0,0.26000000000000006,0.30000000000000004,0.4000000000000001,5.551115123125783e-17
7,0.7000000000000001,0.0,0.30000000000000004,0.32000000000000006,0.20000000000000007,0.020000000000000073
8,0.8,0.0,0.32000000000000006,0.32000000000000006,5.551115123125783e-17,0.020000000000000073
9,0.9,0.0,0.32000000000000006,0.3072727272727273,-0.12727272727272776,0.0072727272727273196
10,1.0,0.0,0.3072727272727273,0.3026446280991736,-0.04628099173553749,0.002644628099173596
11,1.1,0.0,0.3026446280991736,0.300961682945154,-0.016829451540195613,0.0009616829451540299
12,1.2000000000000002,0.0,0.300961682945154,0.3003497028891469,-0.0061198005600711,0.00034970288914693004
13,1.3,0.0,0.3003497028891469,0.3001271646869625,-0.0022253820218441005,0.00012716468696249983
14,1.4000000000000001,0.0,0.3001271646869625,0.30004624170435,-0.000809229826124999,4.624170435002517e-05
15,1.5,0.0,0.30004624170435,0.30001681516521816,-0.00029426539131834203,1.681516521817583e-05
16,1.6,0.0,0.30001681516521816,0.3000061146055339,-0.00010700559684293712,6.1146055339023064e-06
17,1.7000000000000002,0.0,0.3000061146055339,0.3000022234929214,-3.891112612483286e-05,2.223492921393788e-06
18,1.8,0.0,0.3000022234929214,0.30000080854288047,-1.4149500408869562e-05,8.085428804815997e-07
19,1.9000000000000001,0.0,0.30000080854288047,0.3000002940155929,-5.145272875791998e-06,2.9401559292763224e-07
20,2.0,0.0,0.3000002940155929,0.30000010691476103,-1.8710083186303872e-06,1.0691476104440767e-07
21,2.1,0.0,0.30000010691476103,0.3000000388780949,-6.803666611916852e-07,3.887809491009975e-08
22,2.2,0.0,0.3000000388780949,0.30000001413748906,-2.474060585188166e-07,1.4137489068311027e-08
23,2.3000000000000003,0.0,0.30000001413748906,0.3000000051409051,-8.996583952561564e-08,5.140905090517123e-09
24,2.4000000000000004,0.0,0.3000000051409051,0.30000000186942,-3.2714850576018056e-08,1.869420007682976e-09
25,2.5,0.0,0.30000000186942,0.3000000006797891,-1.1896309139800757e-08,6.797891138887735e-10
26,2.6,0.0,0.3000000006797891,0.30000000024719603,-4.3259307247467405e-09,2.4719604141409945e-10
27,2.7,0.0,0.30000000024719603,0.3000000000898895,-1.573065718089724e-09,8.988948474453196e-11
28,2.8000000000000003,0.0,0.3000000000898895,0.30000000003268706,-5.720239938288398e-10,3.2687075268711396e-11
29,2.9000000000000004,0.0,0.30000000003268706,0.3000000000118862,-2.080086608008907e-10,1.188621423509062e-11
30,3.0,0.0,0.3000000000118862,0.30000000000432225,-7.563954513239486e-11,4.322264768319428e-12
31,3.1,-0.08,0.22000000000432224,0.22000000000157172,-2.750532125294182e-11,0.07999999999842827
32,3.2,0.0,0.22000000000157172,0.22000000000057152,-1.0001999228848035e-11,0.07999999999942847
33,3.3000000000000003,0.0,0.22000000000057152,0.2200000000002078,-3.6370906286720132e-12,0.07999999999979218
34,3.4000000000000004,0.0,0.2200000000002078,0.22000000000007555,-1.3225784104261866e-12,0.07999999999992444
35,3.5,0.0,0.22000000000007555,0.22000000000002748,-4.807770343456303e-13,0.07999999999997251
36,3.6,0.0,0.22000000000002748,0.22000000000001,-1.7486012637846218e-13,0.07999999999999
37,3.7,0.0,0.22000000000001,0.22000000000000364,-6.358550050125897e-14,0.07999999999999635
38,3.8000000000000003,0.0,0.22000000000000364,0.22000000000000133,-2.296143073656574e-14,0.07999999999999866
39,3.9000000000000004,0.0,0.22000000000000133,0.22000000000000047,-8.478066733501197e-15,0.07999999999999952
40,4.0,0.0,0.22000000000000047,0.22000000000000017,-3.1792750250629487e-15,0.07999999999999982
41,4.1000000000000005,0.0,0.22000000000000017,0.22000000000000006,-1.0597583416876496e-15,0.07999999999999993
42,4.2,0.0,0.22000000000000006,0.22000000000000003,-3.5325278056254984e-16,0.07999999999999996
43,4.3,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
44,4.4,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
45,4.5,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
46,4.6000000000000005,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
47,4.7,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
48,4.800000000000001,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
49,4.9,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
50,5.0,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
51,5.1000000000000005,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
52,5.2,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
53,5.300000000000001,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
54,5.4,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
55,5.5,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
56,5.6000000000000005,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
57,5.7,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
58,5.800000000000001,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
59,5.9,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
60,6.0,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
61,6.1000000000000005,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
62,6.2,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
63,6.300000000000001,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
64,6.4,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
65,6.5,0.0,0.22000000000000003,0.22000000000000003,-0.0,0.07999999999999996
