step,time,replan_reason,joint_error_rad,max_velocity_bound_violation,solver_violation
1,0.02,direct,0.5255238909975638,0.0,0.0
2,0.04,direct,0.5182839376424736,2.1094237467877974e-14,2.1094237467877974e-14
3,0.06,direct,0.5074573479876029,3.068506559955608e-11,3.068506559955608e-11
4,0.08,direct,0.4930882274404772,1.0424827667776526e-11,1.0424827667776526e-11
5,0.1,direct,0.47565575673715826,3.352873534367973e-14,3.352873534367973e-14
6,0.12000000000000001,direct,0.45543998618257214,0.0,0.0
7,0.14,direct,0.4324176757425136,1.1102230246251565e-16,1.1102230246251565e-16
8,0.16,direct,0.40685699976644674,0.0,0.0
9,0.18,direct,0.3802757933963107,0.0,0.0
10,0.19999999999999998,direct,0.3525437891160457,2.5762725286426758e-12,2.5762725286426758e-12
11,0.21999999999999997,direct,0.32434031419023546,0.0,0.0
12,0.23999999999999996,direct,0.29839311500219806,0.0,0.0
13,0.25999999999999995,direct,0.27452168967343077,0.0,0.0
14,0.27999999999999997,direct,0.2525599764612545,0.0,0.0
15,0.3,direct,0.23235519854911862,0.0,0.0
16,0.32,direct,0.21376680125357436,0.0,0.0
17,0.34,direct,0.19666547425460432,0.0,0.0
18,0.36000000000000004,direct,0.18093225204744795,0.0,0.0
19,0.38000000000000006,direct,0.16645768635820837,0.0,0.0
20,0.4000000000000001,direct,0.15314108476614466,0.0,0.0
21,0.4200000000000001,direct,0.14088981023611968,0.0,0.0
22,0.4400000000000001,direct,0.12961863668839632,0.0,0.0
23,0.46000000000000013,direct,0.11924915612279842,0.0,0.0
24,0.48000000000000015,direct,0.10970923317289129,0.0,0.0
25,0.5000000000000001,direct,0.10093250329578415,0.0,0.0
26,0.5200000000000001,direct,0.09285791110670832,0.0,0.0
27,0.5400000000000001,direct,0.08542928564679231,0.0,0.0
28,0.5600000000000002,direct,0.07859494962938053,0.0,0.0
29,0.5800000000000002,direct,0.0723073599466157,0.0,0.0
30,0.6000000000000002,direct,0.06652277693546566,0.0,0.0
31,0.6200000000000002,direct,0.06120096010244179,0.0,0.0
32,0.6400000000000002,direct,0.05630488819031516,0.0,0.0
33,0.6600000000000003,direct,0.051800501639473584,0.0,0.0
34,0.6800000000000003,direct,0.047656465652349,0.0,0.0
35,0.7000000000000003,direct,0.04384395221267204,0.0,0.0
36,0.7200000000000003,direct,0.04033643954316871,0.0,0.0
37,0.7400000000000003,direct,0.037109527606625066,0.0,0.0
38,0.7600000000000003,direct,0.03414076836685237,0.0,0.0
39,0.7800000000000004,direct,0.031409509628761156,0.0,0.0
40,0.8000000000000004,direct,0.02889675137121692,0.0,0.0
41,0.8200000000000004,direct,0.02658501357325584,0.0,0.0
42,0.8400000000000004,direct,0.024458214614192997,0.0,0.0
43,0.8600000000000004,direct,0.02250155940171152,0.0,0.0
44,0.8800000000000004,direct,0.020701436449696343,0.0,0.0
45,0.9000000000000005,direct,0.019045323189832836,0.0,0.0
46,0.9200000000000005,direct,0.01752169885826958,0.0,0.0
47,0.9400000000000005,direct,0.01611996468450991,0.0,0.0
48,0.9600000000000005,direct,0.014830369105858039,0.0,0.0
49,0.9800000000000005,direct,0.013643941045809726,0.0,0.0
50,1.0000000000000004,direct,0.012552427113091827,0.0,0.0
51,1.0200000000000005,direct,0.011548234186915723,0.0,0.0
52,1.0400000000000005,direct,0.010624376595404125,0.0,0.0
53,1.0600000000000005,direct,0.009774427519738288,0.0,0.0
54,1.0800000000000005,direct,0.008992474285968492,0.0,0.0
55,1.1000000000000005,direct,0.0082730772334756,0.0,0.0
56,1.1200000000000006,direct,0.007611231873951491,0.0,0.0
57,1.1400000000000006,direct,0.007002334077657036,0.0,0.0
58,1.1600000000000006,direct,0.006442148044776447,0.0,0.0
59,1.1800000000000006,direct,0.005926776839059864,0.0,0.0
60,1.2000000000000006,direct,0.005452635278771421,0.0,0.0
61,1.2200000000000006,direct,0.00501642499635919,0.0,0.0
62,1.2400000000000007,direct,0.004615111493348868,0.0,0.0
63,1.2600000000000007,direct,0.004245903030843548,0.0,0.0
64,1.2800000000000007,direct,0.003906231208781701,0.0,0.0
65,1.3000000000000007,direct,0.003593733098852406,0.0,0.0
66,1.3200000000000007,direct,0.003306234806775645,0.0,0.0
67,1.3400000000000007,direct,0.003041736349598521,0.0,0.0
68,1.3600000000000008,direct,0.002798397742806373,0.0,0.0
69,1.3800000000000008,direct,0.0025745262004635903,0.0,0.0
70,1.4000000000000008,direct,0.002368564359341755,0.0,0.0
71,1.4200000000000008,direct,0.0021790794451164515,0.0,0.0
72,1.4400000000000008,direct,0.00200475330526742,0.0,0.0
73,1.4600000000000009,direct,0.0018443732393454658,0.0,0.0
74,1.4800000000000009,direct,0.0016968235628173304,0.0,0.0
75,1.5000000000000009,direct,0.0015610778458019455,0.0,0.0
76,1.520000000000001,direct,0.0014361917727069885,0.0,0.0
77,1.540000000000001,direct,0.0013212965730941197,0.0,0.0
78,1.560000000000001,direct,0.0012155929780740034,0.0,0.0
79,1.580000000000001,direct,0.0011183456601893485,0.0,0.0
80,1.600000000000001,direct,0.0010288781181065111,0.0,0.0
81,1.620000000000001,direct,0.000946567970531759,0.0,0.0
82,1.640000000000001,direct,0.0008708426266130928,0.0,0.0
83,1.660000000000001,direct,0.0008011753027100292,0.0,0.0
84,1.680000000000001,direct,0.0007370813578211033,0.0,0.0
85,1.700000000000001,direct,0.0006781149221770491,0.0,0.0
86,1.720000000000001,direct,0.000623865795546056,0.0,0.0
87,1.740000000000001,direct,0.0005739565936740556,0.0,0.0
88,1.7600000000000011,direct,0.000528040123010104,0.0,0.0
89,1.7800000000000011,direct,0.00048579696545288694,0.0,0.0
90,1.8000000000000012,direct,0.00044693325631755095,0.0,0.0
91,1.8200000000000012,direct,0.0004111786400650095,0.0,0.0
92,1.8400000000000012,direct,0.0003782843895724501,0.0,0.0
93,1.8600000000000012,direct,0.0003480216758622463,0.0,0.0
94,1.8800000000000012,direct,0.0003201799762524229,0.0,0.0
95,1.9000000000000012,direct,0.00029456560985466205,0.0,0.0
96,1.9200000000000013,direct,0.00027100039023250454,0.0,0.0
97,1.9400000000000013,direct,0.00024932038584681764,0.0,0.0
98,1.9600000000000013,direct,0.00022937477966543897,0.0,0.0
99,1.9800000000000013,direct,0.00021102482000360886,0.0,0.0
100,2.0000000000000013,direct,0.00019414285529781178,0.0,0.0
101,2.0200000000000014,direct,0.00017861144609693512,0.0,0.0
102,2.0400000000000014,direct,0.00016432254809426564,0.0,0.0
103,2.0600000000000014,direct,0.0001511767605170749,0.0,0.0
104,2.0800000000000014,direct,0.00013908263464436748,0.0,0.0
105,2.1000000000000014,direct,0.00012795603764398456,0.0,0.0
106,2.1200000000000014,direct,0.00011771956730197767,0.0,0.0
107,2.1400000000000015,direct,0.00010830201357375763,0.0,0.0
108,2.1600000000000015,direct,9.963786321130754e-05,0.0,0.0
109,2.1800000000000015,direct,9.166684401998982e-05,0.0,0.0
110,2.2000000000000015,direct,8.433350557470597e-05,0.0,0.0
111,2.2200000000000015,direct,7.758683347898342e-05,0.0,0.0
112,2.2400000000000015,direct,7.137989448286139e-05,0.0,0.0
113,2.2600000000000016,direct,6.566950999187638e-05,0.0,0.0
