step,time,offset,measured_position,position,velocity,absolute_error
1,0.1,0.0,0.0,0.020000000000000004,0.2,0.27999999999999997
2,0.2,0.0,0.020000000000000004,0.06000000000000001,0.4,0.24
3,0.30000000000000004,0.0,0.06000000000000001,0.12000000000000002,0.6000000000000001,0.17999999999999997
4,0.4,0.0,0.12000000000000002,0.20000000000000004,0.8,0.09999999999999995
5,0.5,0.0,0.20000000000000004,0.26000000000000006,0.6000000000000001,0.039999999999999925
6,0.6000000000000001,0.0,0.26000000000000006,0.30000000000000004,0.4000000000000001,5.551115123125783e-17
7,0.7000000000000001,0.0,0.30000000000000004,0.32000000000000006,0.20000000000000007,0.020000000000000073
8,0.8,0.0,0.32000000000000006,0.32000000000000006,5.551115123125783e-17,0.020000000000000073
9,0.9,0.0,0.32000000000000006,0.3072727272727273,-0.12727272727272776,0.0072727272727273196
10,1.0,0.0,0.3072727272727273,0.3026446280991736,-0.04628099173553749,0.002644628099173596
11,1.1,0.0,0.3026446280991736,0.300961682945154,-0.016829451540195613,0.0009616829451540299
12,1.2000000000000002,0.0,0.300961682945154,0.3003497028891469,-0.0061198005600711,0.00034970288914693004
13,1.3,0.0,0.3003497028891469,0.3001271646869625,-0.0022253820218441005,0.00012716468696249983
14,1.4000000000000001,0.0,0.3001271646869625,0.30004624170435,-0.000809229826124999,4.624170435002517e-05
15,1.5,0.0,0.30004624170435,0.30001681516521816,-0.00029426539131834203,1.681516521817583e-05
16,1.6,0.0,0.30001681516521816,0.3000061146055339,-0.00010700559684293712,6.1146055339023064e-06
17,1.7000000000000002,0.0,0.3000061146055339,0.3000022234929214,-3.891112612483286e-05,2.223492921393788e-06
18,1.8,0.0,0.3000022234929214,0.30000080854288047,-1.4149500408869562e-05,8.085428804815997e-07
19,1.9000000000000001,0.0,0.30000080854288047,0.3000002940155929,-5.145272875791998e-06,2.9401559292763224e-07
20,2.0,0.0,0.3000002940155929,0.30000010691476103,-1.8710083186303872e-06,1.0691476104440767e-07
21,2.1,0.0,0.30000010691476103,0.3000000388780949,-6.803666611916852e-07,3.887809491009975e-08
22,2.2,0.0,0.3000000388780949,0.30000001413748906,-2.474060585188166e-07,1.4137489068311027e-08
23,2.3000000000000003,0.0,0.30000001413748906,0.3000000051409051,-8.996583952561564e-08,5.140905090517123e-09
24,2.4000000000000004,0.0,0.3000000051409051,0.30000000186942,-3.2714850576018056e-08,1.869420007682976e-09
25,2.5,0.0,0.30000000186942,0.3000000006797891,-1.1896309139800757e-08,6.797891138887735e-10
26,2.6,0.0,0.3000000006797891,0.30000000024719603,-4.3259307247467405e-09,2.4719604141409945e-10
27,2.7,0.0,0.30000000024719603,0.3000000000898895,-1.573065718089724e-09,8.988948474453196e-11
28,2.8000000000000003,0.0,0.3000000000898895,0.30000000003268706,-5.720239938288398e-10,3.2687075268711396e-11
29,2.9000000000000004,0.0,0.30000000003268706,0.3000000000118862,-2.080086608008907e-10,1.188621423509062e-11
30,3.0,0.0,0.3000000000118862,0.30000000000432225,-7.563954513239486e-11,4.322264768319428e-12
31,3.1,-0.08,0.22000000000432224,0.23999999999675828,0.19999999992436046,0.06000000000324171
32,3.2,0.0,0.23999999999675828,0.2773333333316044,0.3733333333484613,0.022666666668395563
33,3.3000000000000003,0.0,0.2773333333316044,0.2946666666664506,0.1733333333484613,0.005333333333549406
34,3.4000000000000004,0.0,0.2946666666664506,0.2980606060605275,0.03393939394076895,0.0019393939394725113
35,3.5,0.0,0.2980606060605275,0.2992947658401918,0.012341597796643254,0.0007052341598081657
36,3.6,0.0,0.2992947658401918,0.2997435512146152,0.004487853744233782,0.00025644878538477744
37,3.7,0.0,0.2997435512146152,0.2999067458962237,0.0016319468160849475,9.325410377630794e-05
38,3.8000000000000003,0.0,0.2999067458962237,0.2999660894168086,0.0005934352058492324,3.391058319140994e-05
39,3.9000000000000004,0.0,0.2999660894168086,0.2999876688788395,0.00021579462030897235,1.2331121160502612e-05
40,4.0,0.0,0.2999876688788395,0.29999551595594165,7.847077102138026e-05,4.484044058339354e-06
41,4.1000000000000005,0.0,0.29999551595594165,0.2999983694385242,2.853482582579589e-05,1.6305614757849973e-06
42,4.2,0.0,0.2999983694385242,0.29999940706855427,1.0376300300449984e-05,5.929314457198132e-07
43,4.3,0.0,0.29999940706855427,0.29999978438856517,3.7732001091260843e-06,2.1561143481729772e-07
44,4.4,0.0,0.29999978438856517,0.2999999215958419,1.3720727670191675e-06,7.840415811033452e-08
45,4.5,0.0,0.2999999215958419,0.29999997148939705,4.989355516112197e-07,2.8510602934073148e-08
46,4.6000000000000005,0.0,0.29999997148939705,0.299999989632508,1.814311095804655e-07,1.03674919760266e-08
47,4.7,0.0,0.299999989632508,0.2999999962300029,6.59749489383511e-08,3.769997092284427e-09
48,4.800000000000001,0.0,0.2999999962300029,0.29999999862909194,2.399089058726454e-08,1.3709080537438467e-09
49,4.9,0.0,0.29999999862909194,0.299999999501488,8.723960342006298e-09,4.985120094502804e-10
50,5.0,0.0,0.299999999501488,0.2999999998187229,3.172349151047239e-09,1.812771044384931e-10
51,5.1000000000000005,0.0,0.2999999998187229,0.29999999993408105,1.1535815736995016e-09,6.591893697560636e-11
52,5.2,0.0,0.29999999993408105,0.29999999997602944,4.194841443902223e-10,2.39705477689256e-11
53,5.300000000000001,0.0,0.29999999997602944,0.2999999999912834,1.5253984943861746e-10,8.716583010937029e-12
54,5.4,0.0,0.2999999999912834,0.2999999999968303,5.546916461505383e-11,3.169686735304822e-12
55,5.5,0.0,0.2999999999968303,0.29999999999884736,2.0170733770121597e-11,1.1526335441658375e-12
56,5.6000000000000005,0.0,0.29999999999884736,0.2999999999995808,7.334940735600785e-12,4.1916470294722785e-13
57,5.7,0.0,0.2999999999995808,0.29999999999984756,2.6674117460278137e-12,1.52433621281034e-13
58,5.800000000000001,0.0,0.29999999999984756,0.29999999999994453,9.700321354247618e-13,5.545564008002657e-14
59,5.9,0.0,0.29999999999994453,0.29999999999997984,3.528995277819873e-13,2.015054789694659e-14
60,6.0,0.0,0.29999999999997984,0.29999999999999266,1.2823075934420558e-13,7.327471962526033e-15
61,6.1000000000000005,0.0,0.29999999999999266,0.2999999999999973,4.6629367034256575e-14,2.6645352591003757e-15
